Identifiant de l'équipement,Equipement,Code thème,Thème,Code catégorie,Catégorie,Code type,Type,Statut,Commune,Adresse,Téléphone,Web,Code postal,latitude,longitude
116,Club Léo Lagrange Nantes Aviron,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60101,Base nautique,Ville de Nantes,NANTES,9 Chemin de Belle Ile,,,44300,47.2457334513,-1.54388994386
1846,Piscine Bourgonnière  - St Herblain,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60112,Piscine,Public,ST-HERBLAIN,34 Allée de la Bourgonnière,,,44800,47.207785243,-1.65677255965
2026,Gymnase Ouche Quinet,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Public,ST-SEBASTIEN,Rue de l'Ouche Quinet,,,44230,47.192658785,-1.49992019508
2038,Gymnase Profondine,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Public,ST-SEBASTIEN,Rue de l'Allée Verte,,,44230,47.1959306835,-1.48903298998
2087,Piscine municipale - Bouguenais,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60112,Piscine,Public,BOUGUENAIS,Rue Pablo Neruda,,,44340,47.1717429611,-1.62129630601
2111,Stade Football Félix Guyot,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Public,INDRE,Rue du Stade,,,44610,47.2012865212,-1.67079316342
2243,Gymnase Haute-Indre,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Public,INDRE,Rue Jean-Baptiste Rabillard,,,44610,47.195129525,-1.64789932486
2252,Gymnase Basse-Indre,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Public,INDRE,7 Rue de la Gare,,,44610,47.2008208737,-1.6693128259
2299,Gymnase Gigant,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Ville de Nantes,NANTES,3 Place Beaumanoir,,,44100,47.21306974,-1.57104143299
2317,Gymnase Noë Lambert,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Ville de Nantes,NANTES,42 Boulevard des Poilus,,,44300,47.230800063,-1.52715801396
2414,Gymnase Brains,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Non renseigné,BRAINS,Rue des Prés,,,44830,47.1683199331,-1.72210656562
2536,Stade Saint Jean de Boiseau,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Non renseigné,SAINT-JEAN-DE-BOISEAU,Rue des Pierres Blanches,,,44640,47.1877658261,-1.71022500426
2539,Ensemble sportif de Bellestre,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Non renseigné,BOUAYE,Rue du Stade,,,44830,47.1496505319,-1.69458101541
2543,Salle Omnisports,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Non renseigné,SAINT-LEGER-LES-VIGNES,Rue de la Rive,,,44710,47.1340375736,-1.73260457638
2567,Piscine municipale - Vertou,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60112,Piscine,Non renseigné,VERTOU,Boulevard des Sports,,,44120,47.1649088375,-1.46996118141
2581,Stade municipal,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Non renseigné,SAINTE-LUCE-SUR-LOIRE,Rue du Stade,,,44980,47.2536698417,-1.48139885935
2623,Centre Equestre de la Noue Verrière,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60105,Centre équestre,Non renseigné,LA-CHAPELLE-SUR-ERDRE,Route de la Noue Verrière,,,44240,47.2768331378,-1.57123347078
2644,Complexe Sportif Henri Michel,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Public,BASSE-GOULAINE,Rue de la Poste,,,44115,47.2180632249,-1.46798857765
2665,Gymnase Julien Douillard,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Non renseigné,REZE,11 Rue Julien Douillard,,,44400,47.1858505169,-1.54307424199
2668,Gymnase Roger Salengro,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Non renseigné,REZE,Place Roger Salengro,,,44400,47.184110948,-1.54951684732
2671,Stade Sèvre et Maine,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Non renseigné,VERTOU,Allée de la Vigne de Pâques,,,44120,47.1638293295,-1.46555766013
3087,Gymnase Joël Dubois,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Public,BOUGUENAIS,Rue Pablo Neruda,,,44340,47.1707324589,-1.62203460711
3306,Terrain stabilisé de la Croix Jeannette,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Public,BOUGUENAIS,Chemin Albert Camus,,,44340,47.1711869853,-1.62049029618
3308,Terrain de tir à l'arc de la Gagnerie,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60118,Tir,Public,BOUGUENAIS,Rue de la Gagnerie,,,44340,47.1703680154,-1.61804709788
3330,Salle de Tennis de Table Vertou,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60116,Tennis,Non renseigné,VERTOU,Boulevard des Sports,,,44120,47.1652856297,-1.47325814992
3427,Salle de sport,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Non renseigné,,,,,44470,47.2935906268,-1.39044844872
3441,Tennis Orvault,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60116,Tennis,Non renseigné,,,,,44700,47.2571645468,-1.58156439077
3442,Plateau Multisports,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Non renseigné,ORVAULT,22 Avenue du Petit Moulin,,,44700,47.2632318685,-1.59694049442
3443,Tennis Roger Picaud,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60116,Tennis,Non renseigné,ORVAULT,112 Avenue Claude Antoine Peccot,,,44700,47.2529330507,-1.61156165138
3465,Stade Jean Bertin,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Non renseigné,SAINT-AIGNAN-GRANDLIEU,4 Rue des Frères Rousseau,,,44860,47.1242267685,-1.63166120722
3607,Espace Multisport Sillon,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60117,Terrain de grands jeux,Non renseigné,ST-HERBLAIN,Avenue de l'Angevinière,,,44800,47.2463607409,-1.61054783703
3904,Terrain multi-sports ZAC Montplaisir,6,SPORT ET LOISIRS,602,Pratique libre,60201,Terrain multi-sports,Ville de Nantes,NANTES,Allée des Alizés,,,44100,47.1998915088,-1.60892585405
3920,Skatepark Schuman,6,SPORT ET LOISIRS,602,Pratique libre,60202,Skatepark,Ville de Nantes,NANTES,Boulevard Robert Schuman,,,44300,47.241643552,-1.57270315853
