Identifiant de l'équipement,Equipement,Code thème,Thème,Code catégorie,Catégorie,Code type,Type,Statut,Commune,Adresse,Téléphone,Web,Code postal,latitude,longitude
1120,Musée Naval Maillé Brézé,1,CULTURE,101,Musée, Château,10102,Musée,Non renseigné,NANTES,Quai de la Fosse,,44100,47.2071208454,-1.57114521848
1122,Cinéma Bonne Garde,1,CULTURE,108,Cinéma,,,Associatif,NANTES,20 Rue Frère Louis,,,44200,47.1953278708,-1.53843749107
12,Bibliothèque Chantenay,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,NANTES,8 Rue de la Constitution,,,44100,47.2064963606,-1.58979458152
124,Château du Parc du Grand Blottereau,1,CULTURE,104,Monument,,,Non renseigné,NANTES,Boulevard Auguste Péneau,,,44300,47.2261904411,-1.51067078598
1245,Cinéma Le Cinématographe,1,CULTURE,108,Cinéma,,,Non renseigné,NANTES,12B Rue des Carmélites,,,44000,47.2169075155,-1.55147135354
1419,Salle d'Expositions Espace Delrue,1,CULTURE,106,Salle d'exposition,,,Non renseigné,,,,,44000,47.2094849932,-1.54981079247
1425,Théâtre Pom',1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,44 Rue de Bel Air,,,44000,47.2239153873,-1.55904423942
1457,Bibliothèque pour Tous Viarme,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,NANTES,16 Rue Sarrazin,,,44000,47.2207621866,-1.56103744909
148,Porte Saint Pierre,1,CULTURE,104,Monument,,,Non renseigné,,,,,44000,47.2188776568,-1.55028298161
1958,Médiathèque Ormédo,1,CULTURE,103,Médiathèque,10303,Médiathèque,Non renseigné,ORVAULT,2 Promenade de l'Europe,,,44700,47.2723921863,-1.62560861824
1959,Bibliothèque de la Bugallière,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Public,,,,,44700,47.2616351705,-1.63238381369
